                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9973,                 8.8087,                 2.3374,                0.35259,                0.35381,                0.25105,                0.07231,                 4.9342,                 8.9971,                 2.0377,              0.0033279,              0.0033279,              0.0033279
                      2,                 4.9128,                 5.0159,                  2.297,                0.39413,                0.36111,                0.27263,                0.08036,                 5.3628,                 4.8496,                 2.1903,              0.0065953,              0.0065953,              0.0065953
                      3,                 5.0879,                  4.514,                 2.3617,                0.43369,                0.38314,                0.32418,                0.10104,                 5.0487,                 5.0639,                 2.1389,              0.0097966,              0.0097966,              0.0097966
                      4,                  5.052,                 4.2922,                 2.3883,                0.41422,                0.39333,                0.31961,                0.10433,                   4.93,                 4.9028,                 2.1319,               0.009703,               0.009703,               0.009703
                      5,                 4.9017,                 4.0728,                 2.3326,                0.42364,                0.41801,                0.32936,                0.10663,                 4.8849,                  4.107,                 2.0931,               0.009604,               0.009604,               0.009604
                      6,                 4.8107,                 3.8829,                 2.2935,                0.50335,                0.43655,                 0.3864,                0.12985,                 4.9064,                  4.993,                 2.0903,               0.009505,               0.009505,               0.009505
                      7,                 4.7168,                 3.7685,                 2.2641,                0.46769,                0.44829,                 0.3647,                0.11583,                 4.6926,                 4.0234,                 2.0416,               0.009406,               0.009406,               0.009406
                      8,                 4.6796,                 3.6945,                 2.2473,                  0.516,                0.43579,                0.40559,                0.14301,                 4.6877,                 3.5545,                 2.0496,               0.009307,               0.009307,               0.009307
                      9,                 4.5826,                 3.6136,                 2.2432,                0.56261,                0.48997,                0.46457,                0.16698,                 4.4879,                 3.4762,                 1.9911,               0.009208,               0.009208,               0.009208
                     10,                 4.5644,                 3.5351,                 2.2195,                0.53449,                0.47793,                0.43431,                0.15022,                 4.5872,                 3.3138,                  2.015,               0.009109,               0.009109,               0.009109
                     11,                 4.5563,                 3.4978,                 2.1989,                0.53926,                0.48595,                0.43648,                 0.1573,                 4.6104,                 3.3253,                 2.0063,                0.00901,                0.00901,                0.00901
                     12,                 4.5093,                 3.4621,                 2.1967,                0.50416,                0.43902,                0.42695,                0.15005,                 4.5783,                 3.1171,                 1.9817,               0.008911,               0.008911,               0.008911
                     13,                 4.5204,                  3.416,                 2.1794,                0.57184,                0.48348,                0.48018,                 0.1763,                 4.4637,                 3.3025,                 1.9706,               0.008812,               0.008812,               0.008812
                     14,                  4.485,                 3.3771,                 2.1707,                0.56508,                0.48939,                0.48555,                0.18531,                 4.5299,                 3.0099,                 1.9629,               0.008713,               0.008713,               0.008713
                     15,                  4.487,                 3.3555,                 2.1598,                0.59045,                0.51989,                0.51213,                 0.1843,                 4.4256,                  3.001,                 1.9641,               0.008614,               0.008614,               0.008614
                     16,                 4.4243,                 3.3004,                 2.1604,                0.58818,                0.50973,                0.50575,                0.19621,                 4.3524,                 2.9752,                 1.9586,               0.008515,               0.008515,               0.008515
                     17,                  4.417,                 3.2978,                 2.1501,                0.59614,                0.49994,                0.50946,                0.19084,                 4.4752,                 2.9196,                 1.9615,               0.008416,               0.008416,               0.008416
                     18,                 4.3918,                  3.234,                 2.1486,                 0.5005,                0.48472,                0.45318,                0.17072,                 4.5287,                 2.9696,                 1.9668,               0.008317,               0.008317,               0.008317
                     19,                 4.3811,                 3.2226,                 2.1397,                0.58967,                0.53862,                0.51181,                0.19109,                 4.4104,                 3.0171,                  1.956,               0.008218,               0.008218,               0.008218
                     20,                 4.3543,                 3.2114,                  2.135,                0.60729,                0.50108,                0.50716,                0.20019,                 4.4008,                 2.8999,                 1.9509,               0.008119,               0.008119,               0.008119
                     21,                 4.3623,                 3.1701,                 2.1335,                0.59247,                0.52362,                0.52094,                0.20296,                 4.2646,                  2.871,                 1.9301,                0.00802,                0.00802,                0.00802
                     22,                 4.3427,                  3.158,                 2.1322,                0.61207,                0.53906,                0.54786,                 0.2158,                 4.2936,                 2.8088,                  1.925,               0.007921,               0.007921,               0.007921
                     23,                 4.3341,                  3.142,                 2.1293,                0.60297,                0.51806,                0.54205,                0.20228,                 4.2938,                 2.8972,                 1.9334,               0.007822,               0.007822,               0.007822
                     24,                  4.323,                 3.1538,                 2.1109,                0.61532,                  0.521,                0.53815,                0.21307,                 4.2532,                 2.7769,                 1.9219,               0.007723,               0.007723,               0.007723
                     25,                 4.2988,                 3.1163,                 2.1131,                0.62754,                0.53214,                0.54818,                 0.2173,                 4.2538,                 2.7265,                 1.9233,               0.007624,               0.007624,               0.007624
                     26,                 4.3066,                 3.1023,                 2.1069,                0.61423,                0.53165,                0.56137,                0.22379,                 4.1919,                 2.6876,                 1.9151,               0.007525,               0.007525,               0.007525
                     27,                 4.2594,                 3.0362,                 2.1081,                0.61168,                0.53203,                0.55099,                0.22101,                 4.2056,                 2.7164,                 1.9153,               0.007426,               0.007426,               0.007426
                     28,                 4.2551,                 3.0487,                 2.0903,                0.62658,                 0.5477,                0.56652,                0.21838,                 4.1805,                 2.6805,                 1.9053,               0.007327,               0.007327,               0.007327
                     29,                 4.2435,                 3.0376,                 2.0926,                0.63444,                0.54118,                0.56277,                0.22245,                 4.2129,                 2.7134,                 1.9289,               0.007228,               0.007228,               0.007228
                     30,                 4.2626,                  3.036,                 2.0978,                0.65083,                0.55532,                 0.5855,                0.23766,                 4.1198,                 2.7516,                 1.9023,               0.007129,               0.007129,               0.007129
                     31,                 4.2311,                 3.0115,                 2.0932,                0.65129,                0.54245,                0.58739,                0.24201,                 4.0958,                 2.6057,                 1.8995,                0.00703,                0.00703,                0.00703
                     32,                  4.191,                  2.991,                 2.0823,                0.64527,                0.53875,                0.57651,                 0.2364,                  4.152,                 2.6839,                 1.9056,               0.006931,               0.006931,               0.006931
                     33,                 4.1968,                 2.9719,                 2.0873,                0.64298,                0.54213,                0.57922,                0.24533,                 4.0764,                 2.5892,                 1.8911,               0.006832,               0.006832,               0.006832
                     34,                 4.1948,                 2.9241,                 2.0796,                0.64581,                0.54924,                0.59132,                0.24582,                 4.0648,                 2.5429,                  1.891,               0.006733,               0.006733,               0.006733
                     35,                 4.1773,                 2.9242,                 2.0788,                0.66222,                0.56067,                0.59279,                0.24829,                 4.0533,                 2.5199,                   1.89,               0.006634,               0.006634,               0.006634
                     36,                 4.2028,                 2.9433,                 2.0727,                0.65014,                 0.5456,                0.59135,                0.24912,                 4.0645,                  2.596,                 1.8979,               0.006535,               0.006535,               0.006535
                     37,                 4.1715,                 2.9341,                  2.078,                0.65004,                0.54893,                0.58765,                0.24604,                 4.0469,                 2.5373,                 1.8839,               0.006436,               0.006436,               0.006436
                     38,                 4.1197,                 2.8864,                 2.0688,                 0.6586,                0.54793,                 0.5917,                 0.2531,                 3.9906,                 2.5384,                 1.8859,               0.006337,               0.006337,               0.006337
