                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4102,                 2.8699,                 1.2326,                0.43654,                0.42729,                0.33898,                0.11637,                 2.3033,                 1.8651,                 1.0399,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.3135,                 1.9263,                 1.1617,                0.41118,                0.36122,                0.27982,                0.09185,                 2.6224,                 2.3434,                  1.103,              0.0065953,              0.0065953,              0.0065953
                      3,                 2.3883,                  1.988,                 1.1945,                0.42278,                0.37666,                0.30025,                0.09775,                 2.4757,                 2.9305,                 1.0911,              0.0097966,              0.0097966,              0.0097966
                      4,                 2.4085,                 1.9768,                 1.2132,                 0.5095,                0.40599,                 0.3658,                0.12461,                 2.4277,                 2.0574,                  1.082,               0.009703,               0.009703,               0.009703
                      5,                 2.3356,                 1.8522,                 1.1843,                0.47465,                0.40475,                0.35683,                0.10997,                 2.4718,                 1.9763,                 1.0727,               0.009703,               0.009703,               0.009703
                      6,                 2.3018,                 1.7824,                 1.1719,                 0.5488,                0.45076,                0.42762,                0.14997,                    2.3,                 1.6152,                  1.045,               0.009604,               0.009604,               0.009604
                      7,                 2.2674,                 1.7438,                 1.1592,                0.57275,                0.48714,                0.47426,                0.17902,                 2.2579,                 1.6356,                 1.0341,               0.009505,               0.009505,               0.009505
                      8,                 2.2196,                 1.6885,                 1.1468,                0.64819,                0.47156,                0.49824,                0.18476,                 2.2348,                 1.6827,                 1.0329,               0.009406,               0.009406,               0.009406
                      9,                 2.1834,                 1.6553,                 1.1428,                0.62065,                0.48966,                0.50073,                0.19443,                 2.1686,                 1.7171,                 1.0219,               0.009307,               0.009307,               0.009307
                     10,                 2.1818,                 1.6184,                 1.1406,                0.60841,                0.45909,                0.49633,                0.19366,                 2.1858,                  1.486,                 1.0181,               0.009208,               0.009208,               0.009208
                     11,                 2.1505,                 1.5865,                 1.1262,                0.61591,                0.50849,                0.53907,                0.21615,                 2.1053,                 1.4269,                 1.0063,               0.009109,               0.009109,               0.009109
                     12,                 2.1503,                  1.593,                 1.1183,                 0.6481,                0.49768,                0.53218,                0.20763,                 2.1978,                 1.4423,                 1.0232,                0.00901,                0.00901,                0.00901
                     13,                 2.1069,                 1.5463,                 1.1114,                0.65971,                 0.5333,                 0.5587,                 0.2173,                 2.1308,                 1.4353,                 1.0116,               0.008911,               0.008911,               0.008911
                     14,                 2.0969,                 1.5252,                  1.112,                0.63675,                0.52063,                0.55972,                0.21597,                 2.0829,                 1.4268,                0.99012,               0.008812,               0.008812,               0.008812
                     15,                  2.099,                  1.512,                 1.1026,                0.61497,                0.51837,                0.55026,                0.21877,                  2.117,                 1.3894,                 1.0034,               0.008713,               0.008713,               0.008713
                     16,                 2.0633,                  1.494,                 1.1015,                0.65292,                0.53226,                0.57443,                0.22332,                 2.0597,                 1.3729,                0.98806,               0.008614,               0.008614,               0.008614
                     17,                 2.0646,                 1.4713,                 1.0951,                0.66149,                0.54091,                0.58402,                0.24078,                 2.0551,                 1.3846,                0.99659,               0.008515,               0.008515,               0.008515
