                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4509,                 3.6417,                 1.2624,                0.39061,                0.34764,                0.27176,                0.08653,                 2.6104,                 4.1641,                  1.086,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.3954,                  2.315,                 1.2116,                0.43266,                0.37728,                0.30059,                0.09574,                 2.6112,                 3.7253,                 1.0932,              0.0065953,              0.0065953,              0.0065953
                      3,                 2.4655,                 2.1658,                 1.2418,                0.32365,                0.26644,                 0.1748,                0.05238,                 2.7391,                 5.8871,                 1.1531,              0.0097966,              0.0097966,              0.0097966
                      4,                 2.4624,                 2.0707,                 1.2545,                0.41437,                0.38747,                0.29848,                 0.0982,                 2.5399,                 2.8876,                 1.0924,               0.009703,               0.009703,               0.009703
                      5,                 2.3908,                 1.9514,                 1.2367,                0.46804,                0.40012,                0.33799,                0.11025,                 2.5593,                  2.788,                 1.1331,               0.009604,               0.009604,               0.009604
                      6,                 2.3576,                 1.8856,                 1.2155,                 0.5242,                0.42945,                 0.3873,                0.14071,                  2.391,                 2.0001,                 1.0495,               0.009505,               0.009505,               0.009505
                      7,                   2.31,                 1.8149,                 1.1935,                0.53837,                0.44211,                0.41514,                0.14902,                 2.3583,                 2.0285,                 1.0356,               0.009406,               0.009406,               0.009406
                      8,                 2.2844,                 1.7819,                 1.1782,                0.51454,                0.42737,                0.40473,                0.14781,                 2.3221,                 1.8322,                 1.0453,               0.009307,               0.009307,               0.009307
                      9,                 2.2287,                  1.737,                 1.1727,                0.61746,                0.47092,                0.47372,                 0.1779,                 2.3164,                 1.6499,                 1.0363,               0.009208,               0.009208,               0.009208
                     10,                 2.2239,                 1.7127,                  1.163,                 0.6069,                 0.4699,                 0.4783,                0.18169,                 2.2968,                 1.7818,                 1.0168,               0.009109,               0.009109,               0.009109
                     11,                  2.226,                 1.6955,                 1.1576,                0.61741,                0.46585,                0.48245,                0.17648,                   2.34,                 1.6983,                 1.0371,                0.00901,                0.00901,                0.00901
                     12,                 2.1862,                 1.6834,                 1.1539,                0.58496,                0.47206,                0.50141,                0.19052,                 2.2844,                 1.5658,                 1.0193,               0.008911,               0.008911,               0.008911
                     13,                  2.199,                 1.6471,                 1.1515,                0.56853,                0.47607,                0.48046,                0.18438,                 2.2253,                 1.6675,                 1.0042,               0.008812,               0.008812,               0.008812
                     14,                  2.174,                 1.6292,                 1.1479,                0.60878,                0.49243,                 0.5105,                0.20011,                 2.2879,                  1.611,                 1.0347,               0.008713,               0.008713,               0.008713
                     15,                 2.1713,                 1.6185,                 1.1419,                0.61188,                0.49583,                0.51785,                 0.2034,                 2.1862,                 1.6717,                  1.008,               0.008614,               0.008614,               0.008614
                     16,                 2.1416,                 1.5878,                 1.1448,                0.61786,                0.48379,                0.50401,                0.20273,                 2.1895,                 1.6408,                 1.0059,               0.008515,               0.008515,               0.008515
                     17,                 2.1356,                 1.5832,                 1.1327,                0.62908,                0.51785,                0.53136,                0.20695,                 2.2108,                 1.5376,                 1.0045,               0.008416,               0.008416,               0.008416
                     18,                 2.1143,                 1.5508,                 1.1224,                0.61305,                 0.5088,                 0.5192,                 0.2077,                 2.1697,                 1.5596,                0.99335,               0.008317,               0.008317,               0.008317
                     19,                 2.1143,                 1.5504,                 1.1248,                0.62648,                 0.5088,                 0.5431,                0.22124,                 2.1156,                 1.4318,                0.99121,               0.008218,               0.008218,               0.008218
                     20,                 2.1069,                 1.5369,                 1.1241,                0.66368,                0.52331,                0.54747,                0.21854,                 2.1762,                 1.4955,                 1.0011,               0.008119,               0.008119,               0.008119
                     21,                 2.0997,                 1.5322,                  1.124,                0.65869,                0.54756,                0.56341,                 0.2223,                 2.1669,                 1.5208,                 1.0059,                0.00802,                0.00802,                0.00802
                     22,                 2.0862,                 1.5171,                  1.119,                0.63937,                0.51652,                0.54835,                 0.2206,                 2.1254,                 1.4066,                0.99128,               0.007921,               0.007921,               0.007921
                     23,                 2.0811,                 1.5103,                 1.1213,                0.67357,                0.51127,                 0.5605,                0.22098,                 2.1472,                 1.4408,                 1.0009,               0.007822,               0.007822,               0.007822
                     24,                 2.0871,                 1.5037,                 1.1171,                0.67744,                0.52456,                0.57155,                0.23364,                 2.0992,                 1.4569,                0.98747,               0.007723,               0.007723,               0.007723
                     25,                 2.0814,                 1.4893,                 1.1147,                0.67542,                0.53906,                0.58668,                0.24108,                  2.112,                 1.4065,                0.99107,               0.007624,               0.007624,               0.007624
                     26,                 2.0754,                 1.5019,                 1.1126,                0.66804,                0.53494,                0.57364,                0.23326,                 2.0764,                 1.4006,                0.99072,               0.007525,               0.007525,               0.007525
                     27,                 2.0518,                 1.4621,                 1.1074,                0.66762,                0.53381,                0.57147,                0.23565,                 2.1114,                  1.415,                0.99117,               0.007426,               0.007426,               0.007426
                     28,                 2.0613,                 1.4724,                 1.1044,                0.66473,                0.55171,                0.59008,                0.23669,                 2.1095,                 1.4116,                0.98724,               0.007327,               0.007327,               0.007327
                     29,                 2.0469,                 1.4493,                 1.1027,                0.66831,                0.55048,                0.59087,                0.24056,                  2.112,                 1.4322,                0.99172,               0.007228,               0.007228,               0.007228
                     30,                 2.0441,                 1.4646,                 1.1011,                0.68516,                0.53442,                 0.5937,                0.24361,                 2.0304,                 1.3678,                0.97472,               0.007129,               0.007129,               0.007129
                     31,                 2.0437,                 1.4591,                 1.1093,                0.66681,                0.54677,                0.59184,                 0.2444,                 2.0507,                 1.3668,                0.98494,                0.00703,                0.00703,                0.00703
                     32,                 2.0114,                 1.4327,                  1.097,                0.66062,                0.55264,                0.58856,                0.25076,                 2.0395,                 1.3573,                 0.9749,               0.006931,               0.006931,               0.006931
                     33,                 2.0259,                 1.4336,                 1.1011,                0.68915,                0.54801,                0.60731,                0.25618,                 2.0337,                 1.3526,                0.97694,               0.006832,               0.006832,               0.006832
                     34,                 2.0108,                 1.4002,                 1.0942,                0.69472,                0.55506,                0.60821,                0.25989,                 2.0364,                 1.3217,                0.97605,               0.006733,               0.006733,               0.006733
                     35,                 1.9995,                 1.4034,                  1.091,                0.66735,                0.56561,                0.60487,                0.25789,                 2.0293,                 1.3055,                0.97514,               0.006634,               0.006634,               0.006634
                     36,                 2.0342,                 1.4171,                 1.0952,                0.69027,                0.55171,                 0.6118,                 0.2575,                 2.0338,                 1.3215,                0.97415,               0.006535,               0.006535,               0.006535
                     37,                 2.0033,                 1.4066,                 1.0949,                0.70306,                0.56839,                 0.6182,                0.26298,                 2.0186,                 1.3561,                0.97753,               0.006436,               0.006436,               0.006436
                     38,                  1.973,                 1.3845,                 1.0923,                0.70713,                 0.5548,                0.61921,                0.26586,                 1.9919,                 1.3239,                0.97221,               0.006337,               0.006337,               0.006337
                     39,                 1.9799,                 1.3704,                   1.09,                0.71156,                0.55753,                0.62022,                0.26379,                 2.0098,                 1.3059,                 0.9747,               0.006238,               0.006238,               0.006238
                     40,                 1.9737,                 1.3744,                 1.0836,                 0.7068,                0.56159,                0.62157,                 0.2664,                 1.9845,                 1.2691,                0.96661,               0.006139,               0.006139,               0.006139
                     41,                 1.9801,                 1.3752,                 1.0883,                0.71318,                0.55887,                0.62677,                0.26413,                 1.9697,                 1.2666,                0.96072,                0.00604,                0.00604,                0.00604
                     42,                 1.9742,                 1.3599,                 1.0808,                0.70441,                0.56592,                0.62739,                0.27442,                 1.9701,                 1.2831,                0.96658,               0.005941,               0.005941,               0.005941
                     43,                  1.956,                 1.3492,                 1.0783,                0.73211,                0.56777,                0.63957,                0.27548,                 1.9591,                  1.254,                 0.9651,               0.005842,               0.005842,               0.005842
                     44,                 1.9651,                 1.3599,                 1.0772,                0.72622,                0.56437,                 0.6313,                0.27207,                 1.9564,                 1.2697,                0.96666,               0.005743,               0.005743,               0.005743
                     45,                 1.9503,                 1.3351,                 1.0796,                0.71909,                0.56499,                0.63179,                0.27407,                 1.9654,                  1.249,                0.97006,               0.005644,               0.005644,               0.005644
                     46,                 1.9594,                 1.3422,                 1.0762,                0.70917,                0.57209,                0.63553,                0.27494,                  1.964,                 1.2573,                0.96705,               0.005545,               0.005545,               0.005545
                     47,                 1.9463,                 1.3311,                 1.0785,                0.70898,                0.58413,                0.63804,                0.27878,                 1.9651,                 1.2491,                 0.9666,               0.005446,               0.005446,               0.005446
                     48,                 1.9385,                 1.3254,                 1.0764,                 0.7174,                0.57981,                0.64156,                  0.278,                 1.9481,                 1.2191,                 0.9702,               0.005347,               0.005347,               0.005347
                     49,                 1.9354,                 1.3112,                 1.0715,                0.72304,                0.57226,                0.64396,                0.28065,                 1.9328,                 1.2343,                0.96367,               0.005248,               0.005248,               0.005248
                     50,                 1.9525,                   1.33,                 1.0785,                0.73578,                0.57672,                 0.6476,                0.28543,                  1.917,                 1.2339,                0.95691,               0.005149,               0.005149,               0.005149
                     51,                 1.9375,                 1.3168,                 1.0714,                0.71928,                0.58197,                0.64608,                 0.2829,                 1.9372,                   1.24,                0.95901,                0.00505,                0.00505,                0.00505
                     52,                 1.9166,                 1.2921,                 1.0656,                 0.7177,                0.58632,                0.65053,                0.28387,                 1.9202,                  1.251,                0.96101,               0.004951,               0.004951,               0.004951
                     53,                 1.9137,                 1.2998,                 1.0699,                0.72069,                0.58876,                0.64967,                0.28449,                 1.9159,                 1.2502,                0.96149,               0.004852,               0.004852,               0.004852
                     54,                 1.9176,                 1.2904,                 1.0686,                0.72726,                0.58205,                0.64813,                0.28405,                 1.9362,                 1.2435,                0.96152,               0.004753,               0.004753,               0.004753
                     55,                 1.9079,                 1.2755,                 1.0673,                0.72257,                0.57817,                0.64692,                0.28591,                 1.9156,                 1.2181,                0.95807,               0.004654,               0.004654,               0.004654
                     56,                 1.8976,                 1.2796,                 1.0652,                0.73303,                0.59185,                 0.6538,                0.28457,                 1.9322,                 1.2234,                   0.96,               0.004555,               0.004555,               0.004555
                     57,                 1.8906,                 1.2703,                 1.0581,                0.73587,                0.58691,                0.65592,                 0.2878,                 1.9216,                 1.2251,                0.96192,               0.004456,               0.004456,               0.004456
                     58,                 1.8901,                 1.2542,                 1.0631,                0.73202,                0.59204,                0.65799,                0.28956,                 1.9143,                 1.2243,                0.95528,               0.004357,               0.004357,               0.004357
                     59,                 1.8876,                 1.2589,                 1.0618,                0.73072,                0.58598,                0.65716,                0.29017,                 1.9115,                 1.2324,                0.95374,               0.004258,               0.004258,               0.004258
                     60,                 1.8747,                 1.2603,                 1.0568,                0.71566,                0.59278,                0.65169,                0.28674,                 1.9087,                 1.2294,                0.95371,               0.004159,               0.004159,               0.004159
                     61,                 1.8888,                 1.2554,                 1.0581,                0.73337,                0.59648,                0.66289,                0.29128,                 1.9091,                 1.1969,                0.95674,                0.00406,                0.00406,                0.00406
                     62,                   1.88,                 1.2428,                 1.0541,                0.73306,                 0.5937,                0.66474,                0.29564,                 1.9038,                 1.2035,                0.95616,               0.003961,               0.003961,               0.003961
                     63,                 1.8732,                 1.2323,                 1.0522,                0.72688,                0.60111,                 0.6677,                0.29674,                 1.8926,                 1.1918,                0.95413,               0.003862,               0.003862,               0.003862
                     64,                 1.8635,                 1.2222,                 1.0472,                0.73162,                0.60235,                0.66461,                0.29589,                 1.8996,                 1.1952,                0.95319,               0.003763,               0.003763,               0.003763
                     65,                 1.8541,                 1.2269,                 1.0516,                0.72803,                0.58938,                0.65734,                0.29551,                 1.8794,                 1.1966,                0.95133,               0.003664,               0.003664,               0.003664
                     66,                  1.861,                 1.2264,                 1.0497,                0.73124,                0.59432,                 0.6605,                0.29755,                 1.8751,                 1.1933,                0.95102,               0.003565,               0.003565,               0.003565
                     67,                 1.8606,                 1.2188,                 1.0467,                0.72693,                0.59833,                0.66123,                0.29738,                 1.8755,                 1.1886,                0.95385,               0.003466,               0.003466,               0.003466
                     68,                 1.8452,                 1.2075,                  1.052,                0.72432,                 0.6092,                0.66708,                 0.3009,                 1.8768,                 1.1842,                0.95583,               0.003367,               0.003367,               0.003367
                     69,                 1.8385,                 1.1896,                  1.045,                0.72707,                0.59957,                 0.6634,                0.30062,                 1.8794,                 1.1736,                0.95485,               0.003268,               0.003268,               0.003268
                     70,                 1.8437,                 1.1915,                 1.0474,                0.72305,                0.60132,                 0.6602,                0.29935,                 1.8774,                 1.1683,                0.95209,               0.003169,               0.003169,               0.003169
                     71,                  1.824,                 1.1852,                 1.0416,                0.72729,                0.60574,                0.66346,                0.29983,                 1.8746,                 1.1709,                0.95162,                0.00307,                0.00307,                0.00307
                     72,                  1.828,                 1.1867,                 1.0363,                0.73306,                0.60296,                 0.6702,                0.30385,                 1.8693,                 1.1662,                0.95256,               0.002971,               0.002971,               0.002971
                     73,                 1.8231,                 1.1824,                 1.0401,                0.72661,                0.60543,                0.66891,                0.30369,                 1.8721,                 1.1634,                0.95002,               0.002872,               0.002872,               0.002872
                     74,                 1.8232,                 1.1706,                 1.0382,                0.73658,                 0.6042,                0.67201,                0.30488,                 1.8728,                 1.1693,                0.95028,               0.002773,               0.002773,               0.002773
                     75,                 1.8142,                  1.166,                 1.0422,                0.74537,                0.59833,                0.67139,                0.30639,                  1.868,                 1.1678,                0.95093,               0.002674,               0.002674,               0.002674
                     76,                 1.8217,                 1.1729,                 1.0386,                0.73245,                0.60574,                0.67301,                0.30604,                 1.8611,                 1.1623,                0.94889,               0.002575,               0.002575,               0.002575
                     77,                  1.802,                 1.1514,                 1.0303,                0.73624,                0.60928,                 0.6735,                0.30619,                 1.8608,                 1.1559,                0.95014,               0.002476,               0.002476,               0.002476
                     78,                 1.7979,                 1.1461,                 1.0345,                0.73506,                0.61503,                 0.6773,                0.30799,                 1.8571,                  1.154,                0.95047,               0.002377,               0.002377,               0.002377
                     79,                 1.8023,                 1.1489,                 1.0296,                0.74012,                0.61099,                0.67495,                0.30738,                 1.8599,                 1.1505,                0.95065,               0.002278,               0.002278,               0.002278
                     80,                 1.7888,                 1.1336,                 1.0346,                0.74335,                0.60852,                0.67716,                0.30795,                 1.8528,                 1.1489,                0.94987,               0.002179,               0.002179,               0.002179
                     81,                 1.7844,                 1.1257,                 1.0275,                0.73553,                0.60964,                0.67951,                0.30801,                 1.8562,                 1.1485,                0.95041,                0.00208,                0.00208,                0.00208
                     82,                  1.775,                 1.1241,                 1.0272,                0.73907,                0.60821,                0.67936,                0.30941,                 1.8557,                 1.1501,                0.95109,               0.001981,               0.001981,               0.001981
                     83,                 1.7685,                 1.1256,                 1.0283,                0.73445,                0.61624,                0.67742,                0.30984,                  1.858,                 1.1516,                 0.9528,               0.001882,               0.001882,               0.001882
                     84,                 1.7776,                 1.1121,                 1.0251,                0.73684,                0.61377,                0.67842,                0.30876,                  1.861,                 1.1517,                0.95401,               0.001783,               0.001783,               0.001783
                     85,                 1.7667,                  1.105,                 1.0197,                0.73542,                 0.6093,                0.67643,                0.30904,                 1.8612,                 1.1497,                0.95451,               0.001684,               0.001684,               0.001684
                     86,                 1.7598,                 1.1146,                 1.0236,                0.72891,                0.61717,                0.67717,                0.30835,                 1.8682,                 1.1513,                0.95505,               0.001585,               0.001585,               0.001585
                     87,                 1.7641,                 1.1177,                 1.0288,                0.72755,                0.61964,                0.67723,                0.30886,                 1.8694,                 1.1487,                0.95585,               0.001486,               0.001486,               0.001486
                     88,                 1.7595,                 1.1002,                 1.0235,                0.72022,                0.62087,                0.67754,                0.30943,                 1.8677,                 1.1467,                0.95485,               0.001387,               0.001387,               0.001387
                     89,                 1.7476,                 1.0854,                 1.0206,                0.72356,                0.61964,                0.67759,                0.30961,                 1.8667,                 1.1482,                 0.9545,               0.001288,               0.001288,               0.001288
                     90,                 1.7559,                 1.0943,                 1.0233,                0.72454,                0.62025,                0.67795,                0.30925,                 1.8669,                 1.1493,                0.95463,               0.001189,               0.001189,               0.001189
                     91,                 1.7223,                 1.0488,                 1.0316,                0.72794,                0.61957,                0.67833,                0.30985,                 1.8658,                 1.1511,                0.95498,                0.00109,                0.00109,                0.00109
                     92,                  1.714,                  1.049,                 1.0313,                0.72785,                0.61562,                0.67709,                0.30889,                 1.8656,                 1.1516,                0.95503,               0.000991,               0.000991,               0.000991
                     93,                 1.6835,                 1.0264,                 1.0239,                0.73032,                0.61439,                 0.6787,                0.30907,                 1.8643,                 1.1484,                0.95488,               0.000892,               0.000892,               0.000892
                     94,                 1.6778,                 1.0131,                 1.0186,                0.72955,                 0.6163,                0.67849,                0.30878,                 1.8621,                 1.1474,                0.95439,               0.000793,               0.000793,               0.000793
                     95,                 1.6887,                 1.0166,                 1.0171,                 0.7347,                0.61472,                0.68121,                0.31005,                   1.86,                 1.1449,                0.95358,               0.000694,               0.000694,               0.000694
                     96,                  1.676,                 1.0044,                 1.0197,                0.73153,                0.61933,                0.68029,                0.30951,                 1.8619,                 1.1448,                0.95373,               0.000595,               0.000595,               0.000595
                     97,                 1.6647,                0.98355,                 1.0182,                0.72716,                 0.6255,                0.68074,                0.31006,                 1.8618,                 1.1456,                0.95362,               0.000496,               0.000496,               0.000496
                     98,                 1.6645,                0.98653,                 1.0139,                0.72638,                0.62618,                0.68172,                0.31035,                 1.8624,                 1.1454,                0.95406,               0.000397,               0.000397,               0.000397
                     99,                 1.6604,                0.99484,                 1.0119,                0.72801,                0.62458,                0.68208,                0.31105,                  1.861,                  1.145,                0.95461,               0.000298,               0.000298,               0.000298
                    100,                 1.6589,                0.98451,                 1.0154,                0.73406,                0.61953,                0.68242,                0.31063,                 1.8601,                 1.1446,                0.95454,               0.000199,               0.000199,               0.000199
